7,7,49
56,86,4816
905,344,311320
2409,3040,7323360
10231,96031,982493161
905613,846495,766596876435
8275499,2540473,21023681771027
24094341,63849203,1538404469660223
948167082,357434602,338907723584171364
2900805165,6178195607,17921741727165910155
65104075316,26495307761,1724952511992743327476
483129199048,800695999639,386839616986527767143672
1276730800648,5761555497861,7355955363761960781413928
71264300024968,89899786461728,6406645354589140578776424704
793916860645515,771867548316776,612798660793805167695063659640
9101304187682463,3846803253073638,35010926556389623037224700210394
93132127872136303,38495700678387465,3585186518107065616631490726641895
138025191411491824,870233703588275479,120114173510503162345406310868183696
1532875075841520877,3369257370010809732,5164650646584923135600440005152774964
12087580248151299097,79643867974052252470,962701645409523828782342537789527019590
574363486951578045339,361325099305643838762,207531943960314806434948874552052441630318
4159855605190499203389,8238132202997920898839,34269440420941256676466423711447064354965371
80596449516947332622597,55199084809710434714637,4448850252247521411834392047576066020512852289
669409091957434647661057,242831389001603273001351,162553539610325829892254316321266980048551088007
4286181725278260942637570,3580872689293595308700580,15348271081398228381686125638579221747714588790600
56697285334804873129694541,14559995637392419699406401,825512227126752168682934128097355571985944150156941
439156959581530505209367676,968559368661032430703795576,425349587515385723050973482246956722505130604126201376
5643448515894912060855666260,7494490750688997482861043990,42294772704363968234253716684683813320150643010618777400
24299942877905772657307361449,40241658596394128241305617535,977870005204563108483250512652386679970042256752397408215
564395661392730203253648601063,527429236230956165310509147270,297678772620433044729350138036204397016589610027300545548010
8989774775120903068834831201450,7490456098518898022097112602724,67337513288615723429129526967288495396028157919940013462749800
38310792485597349485732343190062,61899309353439776232030319881060,2371411595641426308779613266176710774298000983018901780814025720
251773275389423555971295798048829,176586919186083123887043503476326,44459867034407588530732002163137062538191763684964283509393522254
1705730845286255570523712681045318,3393875849354372371055586164039785,5789038721315842156468884344826993539998536434959728646795539976630
58938321478816810793140792665453544,37979431482546723749921618588311543,2238443942301034960080833414136569663015273275467479969570249265458392
572051393873099675707801440692011984,649136636931186652538006290800402466,371339517970581556922045394616265958866740675188526536715618498495152544
2882183010469745702775570261878337751,3538188517006741399854907543735916489,10197706831555974969599215459993642584538678182551965162725872655872076239
40101629797752167720506520592447748877,93191719448103312935244416474816552971,3737139833523820012325776075345408172186984258597710190819389689205776263567
904135766078269582641558489408054173125,839400721416159719914510773215479884632,758932214304251717277517580619158359892433628972547099271747282821581154915000
5278348518885654900082967366525643769232,4805892985524286858320915086817997972314,25367178122065077663529024126800159065114809508371518420650660476267264141042848
74636371727543286235265655308961024380408,59148669985211787722400968795951985266070,4414642120206049239508569768028477539496653230402434069884787986218402466775156560
356520433605693287145521506797326823080567,399462492793826055058034287747760658342263,142416541140065995227608924851395863550422931104145469670849054749476837381110103121
9703614817900097813723949068187048939883360,8688530973781563989061584403610693116602337,84310157902970750579665216333030194263160315494206802974719027313060528292252283412320
52570048789529325015823343493975453960368076,26478214605436205400665055816528057079483766,1391961033667409283904983681555010046379495591598560804347440550349247493438001426654216
413102452406609879372136754719845351449328974,686476095179898004660421406487115669287723740,283584958437329209088081307533430489072858469154616213117444289572854003511708958889642760
2953066195429494449263969589842975502835213135,2636856936110418450803615509963373301314684217,7786813080211466931935049965837528053636362619582780032174913375126552750963388960415590295
29782954103723642852280919320029765292350253586,60062491959903348082985623875407881551942288515,1788838441397071725268558113941883669643823945085930100859539244711181412911028253197425364790
957807578004216258644969186241622107144932897041,741717275215773331735466243310847714057955147387,710422426938306554140288952659708654634140775321941517329483253597422206505134306092236051181867
5939305092954510234262731036203115383593931217691,7708212389131673136058429000803601102807924920075,45781425100344799328768395184174201164765328257311711821398594373159327213804819340790048601046825
77510025851146072730617979412541122038249769715598,26966150701839291468939919350809593450710625945561,2090147038005464294272330519742458501460935339549820575338281805720320486197283641846737330800560478
322122889604545936196457673739755742900329086470655,167303302744904433809071262616619346370724829153333,53892223320572778034164947354840171700743611318496656902658112044400214076953166243325948208799943115
7727778761891456240961884675017095880786255817820311,6061921358548257791692031286344792632750742491671863,46845187130845429983488432633041662581467059156792915930344725583655258663639847353734910663062908609393
36233625465863880987592248990640125496417860768266300,68157302608879093651278685373937497193088697110005323,2469586175493672260718473444238819045560860527040138356898251681007754286127091136717040932793262481514900
187406108077160152461779377138469362753151704632368703,708037647090455252910701536814805815066552390837494126,132690579813332035694329315291887458717991805399413650083290246256388232546450270340993894162345948228738578
4465902950120000269125254946103986890482674047705302156,7885071007009007248454249869370328117035078468004889057,35213961872107206790356043330904545638525256074416450281696241045493512984561140588319203718041228949442906892
89499985384653792345224084017344185018391380353776706418,48072620287801522519414872615334014229158280094013709178,4302498813160247650139606593485506822345514859647122465816438580282025991641580522833235212775787071132538104404
850063313632963515566639275627888041743798705330037233187,159614911286503978876428321476737417806355774504820714764,135682780393437079856141484803448508774949484911725158436565940371304249064044732951869887983569084314194281672868
2588357735889298469436462097634449243967026497857388830247,4673360679775197347741718699870454855552557353947529386577,12096329268097002615827389449820444643614027264465074504261813970497108910498499649420528978247564899341911493394519
64283968543520086714846698837096792859325456801537598043200,76362339769305523635690529303740377122846547309149978532549,4908874247639629196781498509975062880081595642274328007150408378328542907975799894710670502157288325830169349908116800
689862152793195113815627222748044445127603661773479773961358,701243060584309213259166973937396051712718473297990782347459,483761047405980500544985784781544796242932236374874953865332574996995055371062912800630072008917020186413816982795489322
8313381146768993755233640386020599554801026807318120897342612,3067326939353949030296668760092553816083771093748199441105836,25499857948601760550736410845809118994878668160932484999507836922674008428462208590652715684227277640456397327171044683632
47314738636353338029721683850492961404947075637269227073799361,96879138403083682006186616018730413525353018348276240001657675,4583811112857005914443735777324827100886162256599128349548073081538240506861189076006032054154571944397552229472200355745675
639915810172181104144941810387502125231338076576525855136214456,483508994535952019685012713323958787916246144014823189998381573,309405049964010423341081710754075860167647807032110404000986128628695723007832894270411322983780575568394729751884101846619288
4384158527560537951909762629537451901658086973739027542330845963,4043636005952207548970706105076658851427098559745856075043505937,17727941277846204925338714392876963500434362594625177737697184541866853889162884616049347597588070409508059225090685842622982331
22971589839798858655261352422166419130349879602976279894580466791,22927646221888295407289320666608637447079406952215011066059676725,526684485001231854800243436262254760835917777739116582312999448123746036489047775947242233629554254395308569456302416713058139475
